File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SftpView.g.i.cs,163,113,56,2,35,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Sleep.g.i.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SleepView.g.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SleepView.g.i.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SqlitView.g.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SqlitView.g.i.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SshView.g.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SshView.g.i.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SwitchView.g.cs,236,165,74,2,56,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SwitchView.g.i.cs,236,165,74,2,56,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SystemView.g.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SystemView.g.i.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TableView.g.cs,174,121,59,2,38,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TableView.g.i.cs,174,121,59,2,38,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TelnetView.g.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TelnetView.g.i.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TextManipulationView.g.cs,158,109,54,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TextManipulationView.g.i.cs,158,109,54,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TimersView.g.cs,130,89,47,2,26,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TimersView.g.i.cs,130,89,47,2,26,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\VariableView.g.cs,192,133,62,2,44,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\VariableView.g.i.cs,192,133,62,2,44,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Wait.g.i.cs,76,49,33,1,12,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Simulators\SshView.g.i.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Simulators\WayneSimView.g.cs,141,97,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Simulators\WayneSimView.g.i.cs,141,97,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\AboutWin.g.cs,150,103,52,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\AboutWin.g.i.cs,150,103,52,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\App.g.cs,70,41,29,0,11,0,18,50,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\App.g.i.cs,70,41,29,0,11,0,18,50,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\AutoLunchToolBar.g.cs,89,59,36,2,15,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\AutoLunchToolBar.g.i.cs,89,59,36,2,15,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\AutomationClient_Content.g.i.cs,14,2,0,0,4,1,8,30,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Designer.g.cs,325,229,97,2,81,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Designer.g.i.cs,325,229,97,2,81,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\GeneratedInternalTypeHelper.g.cs,3,1,0,0,2,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\GeneratedInternalTypeHelper.g.i.cs,62,26,13,3,10,1,26,66,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\MainWindow.g.i.cs,111,75,42,2,21,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\ClockWin.g.i.cs,75,48,32,1,12,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\RunProgramView.g.cs,140,96,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\RunProgramView.g.i.cs,140,96,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\Sleep.g.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\Sleep.g.i.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\SleepView.g.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\SleepView.g.i.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\VariableView.g.cs,188,130,61,2,43,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\VariableView.g.i.cs,188,130,61,2,43,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views\Wait.g.i.cs,107,73,42,3,19,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Properties\AssemblyInfo.cs,50,17,3,0,5,2,28,207,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Properties\Resources.Designer.cs,74,39,21,4,10,1,25,132,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Properties\Settings.Designer.cs,27,13,6,1,6,1,8,30,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\AutoItUIView.xaml.cs,42,38,27,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\ConditionView.xaml.cs,36,32,21,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\DateTimeView.xaml.cs,42,38,26,2,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\DictionaryActionView.xaml.cs,49,44,29,1,5,0,0,0,0,0
